Position Y,Position X,Position Z
106449.75,386448.97,8.55
106588.38,386446.94,8.54
106365,386445,8.49
106660,386450,8.45
106630.38,386436.94,8.44
106280,386445,8.42
106660,386440,8.47
106290,386435,8.49
105620,386435,8.49
106310,386445,8.48
106335,386430,8.58
106335,386450,8.84
106310,386435,8.83
106680,386440,8.82
106350,386435,8.89
106340,386440,8.95
106632.38,386446.94,8.94
106280,386435,8.9
106325,386430,8.82
106458.71,386442.11,8.66
106670,386440,8.62
106412.39,386447.6,8.61
106395.16,386428.59,8.71
106300,386445,8.77
106598.38,386440.94,8.74
105632.37,386433.41,8.71
105820,386450,11.96
105782.19,386428.67,11.95
105960.23,386428.93,11.95
105813.27,386437.46,11.98
106070,386445,12.02
106105.01,386445,12
106130,386450,12
105784.16,386443.24,11.94
105821,386428.76,11.8
105850.51,386430.55,11.79
105978.66,386448.09,11.78
106114.03,386433.83,11.83
106094.35,386426.67,11.93
106120,386449.99,11.88
105803.21,386443,11.83
105836.95,386427.71,12.04
105898.94,386429.93,12.14
106050,386434.99,12.14
105968.81,386443.99,12.14
106095,386445,12.15
106040,386439.99,12.17
106070,386435,12.16
105852.45,386443.3,12.15
105950.18,386440.82,12.13
105859.88,386436.2,12.05
105867.8,386448.28,12.05
106145.66,386429.99,12.05
106080.01,386449.99,12.08
106080,386439.99,12.12
106060,386440,12.08
106005.01,386434.99,12.08
106125,386440,11.78
106170,386440,11.43
106156.01,386434.35,11.37
106210,386435,11.35
106155,386445,11.46
106180,386450,11.54
106180,386440,11.52
106185,386429.99,11.49
105765,386450,11.35
106220,386439.99,10.9
106220,386429.99,10.89
106250,386435,10.88
106205,386444.99,11.1
106190,386440,11.34
106163.31,386425.84,11.28
105750,386430,11.24
106125,386430,11.56
105831.02,386440.54,11.7
106200,386435,11.68
105991.79,386442.2,11.68
105878.43,386431.79,11.73
106144.24,386440.32,11.77
105792.83,386449.52,11.77
105982.69,386437.95,11.75
105885.72,386440.55,11.64
106170,386450,11.58
105793.31,386434.5,11.57
106140,386449.99,11.57
106195,386450,11.6
105972.91,386434.28,11.63
105980.64,386427.37,11.62
105998.8,386450.07,11.61
106129.15,386020.73,9.15
106061.41,386019.87,9.1
106225.14,386001.39,9.09
106091.25,386016.31,9.18
106030,386025,9.35
106110,386013.13,9.27
106045.61,386000.84,9.2
105515,386010,9.07
106025.07,386005.26,9
105510,386020,8.92
106072.22,386016.88,8.9
106033.73,386011.59,9
106179.14,386002.28,9.07
106235.73,386008.1,9.04
106042.56,386021.34,9.02
105520,386020,9.71
105960,386005,10.34
105960,386019.99,10.32
106010.78,386005.05,10.3
105990,386024.99,10.39
105980,386005,10.57
105950,386020,10.48
106010,386014.99,10.46
106000,386015,10.3
105525,386010,10.13
105970.43,386016.59,10.1
105930,386010,10.01
105940,386014.99,10.21
106020.01,386020,10.29
105950,386009.99,10.26
105990,386009.99,10.22
106057.47,386004.92,8.88
106217.26,386019.13,8
105485,386010,7.56
105480,386020,7.26
106118.66,386021.18,8.06
106169.13,386000.44,8.19
105490,386020,8.15
106195.46,386002.65,8.13
105475,386010,6.34
105645,385990,12.42
105678.25,385986.44,12.34
105650,385980,12.28
105700,385990,12.48
105470,386020,6.1
105465,386010,5.02
105460,386025,4.93
106183.35,386011.66,8.21
106243.7,386016.2,8.57
106138.99,386018.88,8.52
106169.24,386010.79,8.52
106207.01,386022.32,8.6
106119.65,386010.15,8.69
106186.14,386024.32,8.67
105505,386010,8.64
105500,386020,8.52
106151.48,386006.49,8.32
106131.6,386007.23,8.3
105495,386010,8.27
106199.31,386013.72,8.36
106101.67,386021.75,8.47
106212.16,386005.86,8.43
106084,386005.12,8.37
105470,386050,7.2
105470,386040,6.99
105470,386030,6.65
105480,386030,7.66
106096.08,386039.37,8.06
106079.31,386026.43,8.03
105480,386040,7.87
105460,386045,5.81
105710,386015,12.21
105581.25,386009.36,12.17
105715,386025,12.16
105676.51,386003.18,12.25
105460,386035,5.41
105725,386025,12.29
105700,386010,12.27
106170.62,386029.12,8.15
106087.27,386047.06,8.37
106068.82,386027.15,8.36
106078.39,386040.66,8.33
105490,386040,8.39
106223.38,386040.77,8.47
106104.12,386032.99,8.47
105490,386050,8.42
106163.66,386039.27,8.33
105490,386030,8.28
106245.09,386044.07,8.26
106198.52,386040.95,8.25
106209.57,386032.89,8.28
106130.35,386043.55,8.32
106227.57,386029.2,8.31
106156.35,386025.4,8.3
105681.87,386013.28,12.11
105691.47,386004.15,11.61
105545,386010,11.6
105728.24,386003.66,11.51
105638.17,386024.84,11.65
105630,386010,11.71
105568.46,386012.94,11.68
105594.48,386000.87,11.67
105565.23,386022.57,11.43
105535,386010,11.15
105737.6,386018.28,11.1
105530,386020,10.87
105552.68,386001.19,11.19
105698.33,386021.31,11.42
105540,386020,11.33
105557.15,386010.77,11.29
105563.67,386002.59,11.71
105620.44,386003.92,11.94
105596.35,386024.12,11.93
105590.43,386013.65,11.91
105576.09,386000.33,11.97
105663.29,386001.48,12.1
105579.46,386020.63,12.03
105669.03,386011.17,11.98
105674.47,386021.63,11.9
105640,386010,11.79
105550,386025,11.76
105657.5,386024.46,11.73
105604.1,386017.2,11.8
105619.46,386016.57,11.88
105608.06,386007.63,11.86
105649.57,386016.02,11.8
105654.98,385988.71,12.24
105490,385980,7.64
105485,385990,7.38
105480,386000,7
106100.63,385984.07,7.98
106137.65,385976.13,8.04
106122.97,385999.5,8.03
105490,386000,8.01
105480,385980,6.22
105596.42,385965.72,12.37
105671.54,385974.41,12.21
105670,385960,12.18
105690,385975,12.5
105475,385990,5.77
105470,386000,5.39
105680,385960,12.54
106156.25,385993.21,8.08
106148.98,385984.43,8.41
106058.66,385976.18,8.4
106086.81,385980.46,8.37
106139.2,385999.43,8.43
106005.02,385978.36,8.5
105495,385990,8.49
106035.34,385977.34,8.43
106194.15,385992.36,8.36
106060.68,385994.44,8.2
106109.95,385989.86,8.16
106097.43,385999.65,8.1
106112.05,385999.67,8.24
106126.49,385989.81,8.35
106075.4,385990.59,8.3
106181.12,385981.34,8.24
105640,385970,12.09
105553.12,385965.78,11.65
105557.02,385955.86,11.61
105544.89,385956.3,11.61
105568.77,385961.16,11.68
105650,385960,11.75
105574.43,385971.39,11.72
105566.7,385950.57,11.72
105540,385970,11.43
105905.01,385960,10.4
105970,385975,10.35
105944.02,385961.97,10.3
105980,385974.99,10.4
105535,385960,11.28
105530,385970,10.71
105915,385955,10.43
105625,385955,11.77
105624.32,385974.41,12.04
105630,385965,12.03
105605,385960,12.01
105700,385975,12.04
105690,385960,12.07
105660,385970,12.06
105605,385975,12.05
105615,385960,12
105565,385975,11.84
105578.48,385958.16,11.84
105586.51,385967.28,11.83
105640,385960,11.9
105650,385970,11.98
105660,385960,11.98
105595,385955,11.97
105552.71,385990.67,11.52
105540,386000,11.35
105535,385990,11.15
105540,385980,11.55
105551.49,385980.05,11.71
105588.64,385986.91,11.66
105582.47,385977.59,11.61
105530,385980,10.61
105930,386000,10.37
105965.01,385985,10.3
106000,385990,10.26
105990,385990,10.38
105530,386000,10.56
105955,385990,10.52
106000,386000,10.41
105592.59,385977.5,11.89
105650,386000,12.16
105668.14,385991.6,12.13
105615,385985,12.12
105625,385990,12.16
105710,386000,12.23
105640,385980,12.22
105660,385980,12.18
105615,385995,12.09
105636.18,385997.58,11.95
105685.53,385995.12,11.92
105605,385995,11.89
105565,385985,11.96
105575,385985,12
105710,385990,12
105605,385985,11.99
105940,385984.99,10.25
106181.03,385992.24,8.96
105510,386000,8.86
106166.53,385985.84,8.78
105515,385990,9.06
106024.86,385987.1,9.2
106108.54,385977.72,9.13
106051.5,385987.43,9.12
105505,385990,8.76
106117.93,385982.19,8.55
105500,385980,8.55
105500,386000,8.52
106065.38,385984.07,8.59
106091.6,385989.82,8.72
106071.43,385999.96,8.7
106139.88,385988.9,8.68
105520,385980,9.3
105934.58,385975.94,10.2
105990,385980,10.18
105980,385985,10.15
105919.9,385977.88,10.2
105965,385995,10.25
105975,385994.99,10.23
105945,385995,10.23
105950.63,385980.05,10.1
106036.58,385990.99,9.6
105520,386000,9.48
106211.79,385989.12,9.42
105525,385990,9.61
105924.91,385990.09,10.1
106010,385994.99,10.07
105910,385979.99,10.04
105696.25,386050.63,11.51
105550,386055,11.49
105560,386075,11.48
105670.54,386054.47,11.59
105560,386065,11.62
105725,386055,11.62
105579.39,386069.41,11.61
105750,386070,11.44
105762.73,386074.77,11.26
105747.22,386056.59,11.2
105540,386055,11.15
105550,386065,11.29
105590.07,386072.6,11.42
105783.46,386074.39,11.34
105768.05,386054.9,11.31
105701.14,386063.24,11.64
105652.1,386058.95,11.86
105712.83,386062.17,11.85
105589.63,386061.96,11.84
105615,386055,11.86
105690.99,386060,11.92
105657.6,386071.23,11.89
105569.97,386063.97,11.88
105560,386055,11.8
105600,386060,11.73
105719.92,386071.38,11.68
105735,386055,11.68
105735,386070,11.73
105683.61,386072.33,11.78
105676.19,386064.92,11.76
105702.92,386073.77,11.73
105579.43,386058.54,11.13
105995,386074.99,10.2
105980,386070,10.19
106040,386065,10.17
106010.01,386055,10.21
105990.01,386065,10.29
105970,386055,10.25
106015,386070,10.22
105956.67,386054.97,10.1
106072.56,386051.85,9.68
106285.46,386065.49,9.31
106091.03,386064.53,9.3
105966.63,386070.07,10
106005,386075,10.06
105520,386055,10.05
106050,386059.99,10.03
106055.44,386075.14,10.3
105540,386075,10.99
105530,386070,10.85
105530,386060,10.84
105774.03,386070,11
105760.87,386062.83,11.08
105550,386075,11.08
105540,386065,11.05
105980,386055,10.48
106045,386075,10.36
105520,386065,10.35
106020,386060,10.33
106040.01,386055,10.36
105995,386054.99,10.4
106005,386065,10.38
106030,386064.99,10.38
105490,386100,8.57
105490,386080,8.52
106299.71,386078.63,8.51
106196.65,386076.97,8.58
106115.83,386089.93,8.61
105490,386090,8.61
106218.01,386084.65,8.59
106261.91,386081.48,8.5
106271.28,386085.22,8.4
106260.75,386097.13,8.4
106181.06,386094.74,8.37
106252.88,386076.67,8.4
106321.61,386083.89,8.49
106171.35,386086.5,8.46
106122.16,386076.31,8.43
106164.82,386097.04,8.62
106161.5,386084.62,9.18
106216.12,386097.98,9.1
106334.65,386089.71,9.06
106317.93,386096.58,9.19
105510,386090,9.57
105510,386080,9.48
106080.5,386095.2,9.4
106085.06,386079.05,9
106185.55,386085.36,8.81
106341.85,386100.21,8.79
106153.19,386092.18,8.62
105500,386080,8.82
105500,386090,8.88
105500,386100,8.84
106194.54,386094.17,8.82
106287.82,386077.16,8.35
105460,386090,6.73
105460,386100,6.24
105625,386060,12.22
105460,386080,6.97
105470,386090,7.84
105470,386080,7.75
105470,386100,7.36
105681.99,386054.55,12.04
105620,386070,11.98
105635,386060,11.92
105605,386070,11.92
105670.56,386073.97,11.98
105665.1,386063.36,12
105709.27,386051.08,11.99
105638.76,386072.68,11.99
106142.73,386090.82,8.05
106145.87,386076.67,8.3
106306.25,386096.52,8.26
106133.24,386082.31,8.25
106295.16,386088.54,8.31
106231.14,386089.19,8.34
106237.85,386100.13,8.33
105480,386095,8.33
105480,386085,8.21
106101.62,386083.66,8.14
106205.04,386090.17,8.12
106211.74,386075.68,8.12
106244.46,386085.33,8.16
106250.61,386099.91,8.19
106278.59,386092.47,8.18
106128.65,386100.05,8.18
105510,386070,9.25
105530,386050,10.86
105955,386029.99,10.53
106010,386045,10.48
105530,386030,10.88
105745,386035,11.14
105755,386045,11.02
105530,386040,10.9
105970,386045,10.44
106020.01,386040,10.37
106000.01,386030,10.36
106020,386030,10.36
105960,386039.99,10.37
105975,386030,10.42
106025.01,386049.99,10.38
105985,386040,10.38
105566.79,386036.56,11.24
105643.86,386033.94,11.59
105550,386045,11.59
105719.93,386045.46,11.58
105573.76,386029.27,11.65
105685.57,386044.23,11.72
105577.49,386040.37,11.67
105550,386035,11.65
105745,386045,11.55
105734.98,386041.63,11.38
105540,386030,11.33
105540,386045,11.26
105569.9,386047,11.4
105712.75,386035.59,11.52
105685.63,386025.42,11.49
105691.28,386034.62,11.41
105965,386030,10.3
106113.97,386030.21,8.73
106211.78,386050.06,8.71
106109.27,386050.26,8.66
105500,386040,8.74
106255.59,386047.28,8.8
105500,386050,8.78
106067.59,386039.08,8.77
106264.83,386037.55,8.65
106275.3,386041.31,8.54
106160.52,386049.31,8.52
106197.38,386028.29,8.48
106174.21,386039.85,8.56
105500,386030,8.64
106146.66,386044.07,8.64
106254.15,386033.35,8.6
106190.6,386049.23,8.87
106037.58,386040.37,9.9
106051.32,386028.25,9.8
106052.28,386048.77,9.28
105520,386030,9.95
105999.03,386043.1,10.1
105945,386029.99,10.06
105520,386045,10
106055.82,386039.04,9.17
106134.42,386029.81,8.92
106184.94,386038.52,8.92
106240.02,386030.65,8.88
105510,386030,9.05
105510,386050,9.16
105510,386040,9.15
106122.86,386036.05,9.08
106275.27,386059.67,8.53
106220.74,386070.9,8.52
106313.39,386072.17,8.49
106266.17,386065.34,8.56
106139.05,386053.67,8.6
106159.07,386073.46,8.58
106264.78,386053.3,8.58
105490,386070,8.4
106233.46,386051.44,8.26
106248.71,386065.55,8.23
106182.53,386071.79,8.19
106217.64,386058.95,8.3
105490,386060,8.38
106276.67,386071.53,8.32
106156.74,386062.19,8.32
106136.18,386064.68,8.62
106146.52,386065.42,8.97
106063.97,386057.39,8.89
105500,386060,8.84
106069.02,386068.61,9.1
105510,386060,9.23
106127.49,386053.63,9.13
106107.38,386073.59,9.1
106180.56,386061.17,8.81
106176.43,386051.35,8.66
106293.85,386053.73,8.65
106297.35,386063.38,8.63
106282.67,386051.42,8.71
106237.2,386063.06,8.79
106172.4,386071.02,8.77
105500,386070,8.75
106199.65,386063.46,8.19
105623.37,386038.27,11.96
105635.23,386047.48,11.96
105613.63,386042.34,11.94
105595,386035,11.98
105583.57,386031.38,12.02
105600,386050,11.99
105653.68,386049.03,11.98
105560,386045,11.88
105583.56,386048.72,11.77
105701.98,386032.16,11.76
105663.22,386042.41,11.75
105608.9,386029.5,11.79
105633.15,386034.36,11.86
105680.04,386034.88,11.86
105644.73,386044.13,11.85
105623.36,386027.39,12.04
106239.39,386074.81,8.11
105480,386065,8.05
105480,386055,7.93
106106.61,386062.54,8.13
106119.99,386060.44,8.18
106094.53,386054.54,8.17
105480,386075,8.13
105470,386070,7.62
105625,386050,12.12
105674.49,386043.6,12.1
105655.49,386034.65,12.07
105669.16,386033.46,12.19
105470,386060,7.4
105460,386065,6.66
105460,386055,6.24
105987.63,385830.49,8.37
105939.44,385838.68,8.36
105924.22,385826.57,8.32
105837.53,385833.41,8.39
105560,385830,8.96
106019.04,385845.5,8.84
105901.65,385850.03,8.57
105848.47,385842.76,8.31
105998.19,385838.05,8.21
106008.63,385839.58,8.1
106008.47,385849.61,8.08
105922.7,385842.96,8.23
105935.38,385829.06,8.3
105906.99,385832.24,8.3
105946.87,385846.89,8.25
105911.38,385842.19,9.2
105819.63,385825.86,9.9
105881.56,385837.49,9.9
105560,385840,9.85
105871.4,385847.82,10.1
105565,385850,10.94
105580,385830,10.94
105570,385830,10.36
105825.01,385839.99,9.81
105864.05,385827.19,9.44
105555,385850,9.4
105896.01,385834.77,9.23
105855.32,385832.69,9.48
105804.27,385829.9,9.8
105815.01,385840,9.77
105820,385850,9.51
105988.67,385841.42,8.07
105814.09,385814.84,8.41
105801.74,385805.12,8.4
105908.85,385807.63,8.35
105944.8,385800.48,8.45
105575,385810,9.03
105922.37,385807.92,9.03
105899.36,385825.27,8.45
105974.54,385817.52,8.3
105881.37,385808.51,8.16
105826.52,385807.54,8.14
105985.12,385819.08,8.09
105565,385815,8.17
105935.93,385807,8.28
105963.68,385813.16,8.24
105916.55,385818.82,8.22
105897.52,385809.32,9.1
105545,385850,7.28
105595,385815,11.49
105595,385825,11.22
105550,385840,7.45
105959.56,385832.95,8.06
105874.17,385827.61,8.04
105978.25,385842.4,7.86
105585,385820,10.56
105795,385819.99,9.22
105848.85,385804.69,9.22
105860.04,385804.29,9.11
105575,385820,9.87
105874.06,385816.71,10.1
105835.43,385819.35,10.1
105585,385810,9.97
105583.86,385870.68,11.29
105555,385860,10.27
105830,385854.99,9.76
105572.56,385859.94,11.36
105605,385860,11.41
105610,385870,11.4
105635,385875,11.39
105550,385870,9.76
105908.9,385861.17,8.94
105956.54,385853.74,8.84
105973.65,385874.06,8.83
105924.99,385865,9.01
105840.01,385869.99,9.42
105830,385864.99,9.33
105847.94,385860.47,9.11
105594.19,385868.01,11.47
105520,385900,6.22
105515,385890,3.73
105520,385880,3.73
105525,385890,6.42
105955.37,385886.56,8.06
106015.81,385892.98,8.05
105530,385880,6.46
105510,385900,3.66
105625,385870,11.52
105615,385860,11.51
105560,385870,11.5
105582,385850.48,11.56
105570,385875,12
105590.09,385857.22,11.86
105625,385860,11.57
105987.78,385866.95,8.78
105545,385860,7.88
105540,385870,7.59
105535,385860,5.56
106008.32,385861.96,8.06
105967.92,385862.6,8.2
105897.74,385862.89,8.15
106020.16,385873.83,8.12
105530,385870,5.26
105595,385835,11.52
105605,385835,11.46
105570,385840,11.05
105610,385845,11.52
105580,385840,11.6
105600,385850,11.59
105620,385850,11.56
105916.17,385851.45,8.21
105982.72,385852.43,8.61
105971.24,385851.68,8.5
105872.15,385861.61,8.46
106042.72,385866.04,8.72
105884.33,385870.3,8.75
105886.78,385852.77,8.74
105859.32,385873.73,8.74
105997.03,385861.85,8.46
106032.28,385867.68,8.3
105937.2,385854.88,8.27
105953.42,385868.26,8.21
105961.89,385874.66,8.34
106024.43,385854.62,8.43
105943.34,385863.09,8.4
105910.49,385871.43,8.35
105930.48,385815.75,8.08
105852.69,385715.54,7.6
105760.11,385722.75,7.58
105839.33,385708.31,7.58
105794.92,385708.46,7.82
105769.46,385718.23,8.05
105760.05,385709,8.03
105818.56,385718,7.85
105775.96,385709.49,7.5
105808.17,385716.13,7.07
105794.82,385721.93,7.04
105804.34,385686.12,8.48
105741.63,385709.23,7.09
105732.1,385702.06,7.43
105785.65,385714.69,7.3
105748.9,385718.05,7.11
105829,385710.05,8.89
105762.24,385733.52,7.82
105868.53,385735.85,7.81
105863.24,385745.16,7.72
105857.46,385730.99,7.83
105771.63,385738.04,8.1
105778.04,385726.1,8.01
105812.01,385736.04,8
105834.74,385726.23,7.59
105894.2,385750.07,7.35
105777.99,385748.02,7.32
105878.62,385736.13,7.05
105820.34,385743.05,7.39
105849.06,385745.27,7.58
105866.06,385725.68,7.49
105881.03,385748.76,7.44
105723.88,385684.72,8.46
105729.49,385651.75,7.49
105767.62,385653.41,7.36
105720.84,385673.35,7.32
105776.01,385660.17,7.59
105736.71,385669.68,7.85
105753.28,385657.84,7.7
105716.32,385661.22,7.67
105763.65,385672.9,7.16
105753.52,385644.67,7.46
105717.46,385645.36,7.35
105741.97,385643.6,7.24
105724.68,385628.63,8.05
105739.56,385657.46,7.03
105726.92,385663.59,7.02
105733.36,385637.06,8.06
105747.88,385669.32,8.06
105781.77,385698.6,7.94
105780.13,385686.35,7.79
105791.74,385696.88,7.78
105759.57,385684.55,7.96
105790.15,385683.94,8.35
105819.53,385698.82,8.19
105770.44,385690.22,8.05
105761.72,385697.65,7.75
105809.15,385697.79,7.02
105791.73,385673.8,8.17
105781.48,385673.83,8.06
105733.8,385686.42,7.1
105749.12,385698.01,7.73
105831.21,385697.23,7.69
105747.64,385686.74,7.55
105798.74,385779.49,8.05
105834.64,385791.13,8.02
105817.88,385798.04,8.02
105806.59,385788.23,8.08
105869.35,385798.72,8.21
105922.85,385787.58,8.21
105926.18,385797.05,8.09
105945.48,385790.18,7.92
105784.11,385785.25,7.05
105819.54,385769.5,9.55
105798.74,385768.92,9.41
105795.13,385790.01,7.17
105895.76,385785.73,7.79
105909.46,385785.35,7.68
105778.32,385775.84,7.27
105958.36,385798.75,8.27
105846.61,385792.98,9.02
105882.22,385779.5,8.96
105817.2,385779.71,8.91
105855.43,385777.12,9.08
105891.15,385818.67,8.05
105950.62,385819.6,8
105829.23,385780.26,9.4
105887.04,385798.14,8.9
105857.65,385791.91,8.47
105936.8,385783.15,8.4
105878.35,385791.81,8.27
105915.97,385796.26,8.47
105869.24,385783.2,8.72
105845.82,385780.03,8.63
105897.55,385799.23,8.47
105809.85,385762.6,9.26
105768.39,385754.14,7.02
105740.01,385740,9.02
105840.02,385750.09,8.97
105774.45,385764.72,7.04
105826.86,385762.29,7.68
105786.99,385760.43,7.64
105880.1,385769.5,7.28
105750.99,385735.32,8.63
105836.15,385736.94,8.26
105846.88,385726.82,8.17
105795.46,385743.65,8.1
105824.75,385731.6,8.27
105804.19,385726.7,8.51
105756.89,385744.5,8.34
105788.3,385734.49,8.34
105868.3,385759.79,7.78
105800.4,385757.13,8.5
105788.31,385772.22,8.48
105896.52,385761.22,8.27
105920.16,385773.68,8.5
105864.87,385770.56,8.95
105808.23,385772.51,8.74
105855.42,385759.9,8.71
105848.41,385769.94,8.01
105907,385760.34,7.84
105810.08,385750.63,7.83
105893.88,385773.03,7.79
105909.43,385772.06,7.9
105827.3,385750.87,7.98
105840.77,385763.12,7.93
105886.34,385757.57,7.93
105930,385944.99,10.35
105940,385939.99,10.35
105925.01,385930,10.35
105910,385944.99,10.37
105970,385949.99,10.46
105945.01,385950,10.44
105895,385940,10.38
105900,385949.99,10.34
105885,385940,10.05
105970,385939.99,9.7
105525,385950,9.58
105957.61,385937.21,10.2
105890.01,385930,10.31
105950,385929.99,10.3
105920,385944.99,10.29
105910.01,385934.99,10.54
105625,385935,11.5
105675,385935,11.49
105635,385940,11.44
105665,385930,11.52
105625,385945,11.57
105655,385940,11.56
105645,385930,11.55
105645,385950,11.42
105535,385950,11.31
105540.78,385925.87,11.16
105530,385940,10.55
105645,385940,11.37
105549.1,385936.95,11.39
105655,385930,11.38
105555.12,385945.64,11.37
105525,385930,9.36
106137.22,385944.23,8.21
106090.72,385934.13,8.17
106073.75,385941.98,8.16
106056.7,385946.52,8.23
106112.99,385937.96,8.29
106030.02,385931.56,8.28
106104.84,385928.38,8.23
106125.84,385943.65,8.12
105500,385945,6.06
105505,385930,5.66
105490,385950,4.95
105510,385940,7.24
106102.63,385938.29,8.11
106063.43,385933.26,8.1
105515,385930,7.41
106074.63,385926.94,8.35
106013.74,385942.53,8.92
105520,385940,8.86
105969.99,385929.99,8.78
105984.26,385935.03,8.95
105980.01,385944.99,9.21
105998.15,385945.22,9
106047.12,385933.71,8.98
105998.13,385929.31,8.74
106024.18,385945.13,8.43
106008.3,385929.93,8.42
106095.19,385945.53,8.4
106123.54,385930.33,8.55
106045.38,385943.92,8.73
105515,385950,8.69
106037.05,385949.92,8.6
106036.35,385967.1,8.84
106077.68,385956.51,8.81
106006.7,385963.95,8.8
106045.44,385971.6,8.89
106176.24,385972.23,8.99
105515,385960,8.99
105510,385975,8.89
105995.93,385955.43,8.78
106149.29,385961.37,8.62
106088.43,385969.23,8.51
106104.94,385965.41,8.46
106124.57,385972.95,8.68
106099.98,385954.31,8.77
106016.53,385953.45,8.76
106078.03,385974.45,8.71
106018.18,385964.3,9
105525,385960,9.91
106149.34,385950.59,9.88
106088.54,385957.06,9.58
105928.53,385957.63,10.1
105970.01,385959.99,10.3
105960.01,385960,10.23
105910.01,385969.99,10.17
105520,385970,9.57
106160.52,385951.81,9.07
106067.3,385969.21,9.06
106162.6,385963.8,9
106187.33,385973.3,9.07
106029.19,385960.01,9.22
106173.22,385961.18,9.11
105985.14,385962.24,9.1
106065.85,385954.11,8.33
105592.34,385929.98,11.91
105665,385940,11.88
105685,385950,11.87
105605,385940,11.93
105576.55,385947.98,11.97
105605,385950,11.95
105585,385940,11.94
105573.8,385930.71,11.84
105562.83,385938.11,11.63
105615,385930,11.62
105635,385950,11.57
105615,385940,11.64
105605,385930,11.83
105615,385950,11.78
105655,385950,11.7
105665,385950,11.98
106054.73,385963.09,8.22
105505,385965,8.21
106122.23,385961.98,8.12
106136.43,385954.83,8.25
106044.04,385958.29,8.31
105996.27,385970.77,8.3
106162.17,385974.37,8.29
106111.44,385950.66,8.05
105485,385960,4.92
105675,385945,12.17
105595,385940,12.03
105485,385970,6.04
105505,385955,7.6
105495,385970,7.41
105495,385960,6.6
105495,385935,4.3
105640,385895,11.18
105598.45,385890.46,11.15
105635,385885,11.14
105590.02,385881.52,11.19
105604.66,385898.97,11.38
105625,385880,11.37
105645,385880,11.32
105650,385890,11.04
105540,385900,10.27
105928.87,385879.01,10.1
105870.01,385895,10.1
105860,385900,10.31
105650,385900,11.01
105550,385880,10.49
105545,385890,10.35
105630,385895,11.4
105575,385885,12.16
105575,385895,12.13
105590,385900,11.99
105500,385920,3.65
105515,385910,5.81
105510,385920,5.4
105505,385910,3.66
105560,385880,11.83
105605,385880,11.52
105620,385890,11.47
105615,385880,11.46
105610,385890,11.53
105550,385900,11.78
105563.37,385894.27,11.78
105620,385900,11.54
105855,385885,10.09
106068.74,385885.11,8.39
105530,385900,8.35
105951.78,385899.6,8.3
105941.71,385892.38,8.41
106052.93,385896.33,8.56
105985.12,385877.47,8.53
105969.51,385897.82,8.42
106039.31,385895.63,8.27
106030.82,385881.64,8.1
105978.86,385893.59,8.1
106063.48,385896.41,8.07
105971.2,385884.4,8.14
105939.84,385877.93,8.26
106002.09,385898.32,8.23
106044.73,385881.48,8.14
106084.49,385897.26,8.67
105917.06,385885.36,9.71
105850.01,385895,9.62
105926.83,385892.77,9.46
105900.01,385900,9.8
105880,385890,9.95
105891.97,385886.84,9.9
105890.01,385899.99,9.87
105845,385880,9.39
105893.6,385875.98,8.74
105991.93,385886.75,8.7
106003.31,385875.78,8.68
106029.29,385893.2,8.75
105872.54,385880.85,9.34
105535,385890,8.8
105540,385880,8.78
105665,385920,11.1
105660,385910,11.02
105875,385914.99,10.39
105650,385910,11.12
105625,385920,11.4
105640,385905,11.26
105655,385920,11.2
105885,385915,10.3
105938.85,385910.4,10.2
105937.39,385922.22,10.2
105915.01,385924.99,10.17
105895,385910,10.22
105925,385919.99,10.28
105905.01,385925,10.27
105910,385914.99,10.24
105645,385920,11.41
105600,385910,11.76
105605,385920,11.75
105564.98,385904.94,11.73
105583.84,385916.31,11.8
105554.71,385910.02,12.18
105575.89,385907.73,11.98
105595,385920,11.96
105568.22,385914.96,11.67
105545,385915,11.45
105620,385910,11.45
105635,385925,11.44
105615,385920,11.47
105557.35,385920.8,11.64
105610,385910,11.56
105630,385910,11.49
105879.99,385904.99,10.15
106020.27,385924.37,8.46
105964.38,385920.58,8.43
106070.18,385907.07,8.4
106044.47,385923.65,8.5
105989.4,385912.93,8.75
106065.2,385918.72,8.59
106037.04,385909.5,8.55
105525,385910,8.15
106086.63,385911.51,8.06
105990.51,385900.51,8.03
105520,385920,7.74
106012.81,385916.64,8.06
106014.26,385904.35,8.13
106051.16,385909.4,8.07
106094.15,385924.29,8.06
106027.92,385913.93,8.89
105895,385920,9.97
105950,385909.99,9.79
105860,385910,9.76
105535,385910,10.06
105880,385924.99,10.14
105920,385910,10.14
105910.28,385902.07,10.1
105530,385920,9.72
105865,385919.99,9.08
105984.6,385923.78,9
105974.34,385917.76,8.91
106105.17,385915.12,9.09
106027.66,385903.23,9.29
106056.22,385923.93,9.17
106003.03,385912.67,9.13
105510,386100,9.61
105540,386225,9.69
105535,386215,9.64
105955,386210,9.57
105575.66,386221.07,9.86
105610.53,386213.43,9.93
105542.52,386207.96,9.88
105554.15,386216.3,9.87
105530,386225,9.56
105515,386205,9.31
105515,386215,9.29
105565.38,386219.1,9.24
106314.67,386203.43,9.38
105525,386215,9.53
106200.26,386222.17,9.52
106191.99,386206.14,9.45
105570.55,386209.94,9.95
106015,386209.99,10.62
106030,386209.99,10.56
106050,386209.99,10.55
106030,386219.99,10.7
105995,386225,10.78
105990,386210,10.72
105980,386214.99,10.71
106155,386220,10.46
