Position Y,Position X,Position Z
105844.66,386347.72,11.72
106205.01,386335,11.71
106098.61,386334.47,11.72
106067.23,386349.85,11.74
105885.1,386328.31,11.74
106059.17,386341.88,11.73
106165.01,386379.99,11.33
106205,386380,11.32
106200,386389.99,11.32
106130.41,386376.3,11.35
106195,386400,11.39
106215,386395,11.37
106225,386390,11.36
106148.98,386386.96,11.31
106241.78,386380.28,11
106260,386400,10.9
105725,386400,10.85
106215,386385,11.16
106160,386390,11.3
106205,386400,11.26
106190,386390,11.17
106250,386395,11.41
105958.15,386398.2,11.74
106125.12,386400.21,11.68
105745,386390,11.64
106185,386400,11.77
106087.94,386382.15,11.82
105797.5,386389.54,11.81
106095,386400,11.81
106122.57,386388.41,11.61
106120.05,386375.99,11.46
106238.75,386395.09,11.42
106133.16,386389.83,11.42
105740,386380,11.49
105763.99,386382.95,11.59
106179.02,386391.84,11.51
106230,386400,11.5
106251.67,386384.73,10.71
105596.47,386387.56,9.3
105621.89,386376.97,9.3
105638.94,386391.77,9.27
105648.87,386396.34,9.33
105628,386398.11,9.4
105663.01,386393.66,9.38
105603.23,386399.49,9.35
105633.66,386377.34,9.27
106475.78,386397.84,9.11
106447.83,386398.69,9.06
106347.03,386386.79,9
106262.58,386388.55,9.13
105618.77,386386.75,9.22
105629.18,386387.38,9.21
106281.26,386378.06,9.15
105656,386382.7,9.42
105703.24,386382.35,10.25
105683.21,386378.26,10.11
105692.42,386384,10.04
105738.09,386398.36,10.39
105731.86,386390.41,10.59
105724.37,386379.3,10.57
105710.47,386392.43,10.42
105699.83,386392.45,9.97
105672.35,386377.91,9.48
105611.71,386376.51,9.48
105644.31,386383.29,9.46
106294.77,386376.95,9.55
105679.71,386393.61,9.77
106304.15,386394.06,9.76
105688.23,386399.6,9.59
106035,386390,12.11
105750,386380,12.11
105825,386390,12.1
106005,386380,12.12
105880,386395,12.14
106015.01,386400,12.13
105974.99,386380,12.13
105890,386390,12.09
105900,386390,12.05
105970,386395,12.05
105835,386395,12.04
105965,386385,12.06
105780,386400,12.09
106085,386400,12.07
105918.92,386394.99,12.07
106030,386379.99,12.15
105980,386390,12.31
105865,386385,12.26
105820,386380,12.23
105580,386405,5.05
106813.07,386410.88,5.37
106800.17,386420.65,5.35
105590,386420,5.07
105906.86,386399.42,12.21
105990,386389.99,12.17
105931.97,386391.72,12.16
105995,386400,12.15
105890,386380,12.17
106066.98,386398.96,12.2
105980,386400,12.19
105924.93,386377.99,12.19
106025,386395,12.04
105755,386390,11.96
105811.72,386394.97,11.95
105835,386385,11.94
106067.01,386385.63,11.96
106105.01,386389.99,11.97
105880,386380,11.96
106141.96,386379.69,11.96
106105,386399.99,11.93
105825,386400,11.86
105755,386400,11.86
105850.97,386381.16,11.83
106095,386390,11.87
106041.81,386376.68,11.89
105861.34,386396.41,11.89
106114.91,386398.23,11.88
106020,386384.99,11.97
106005,386400,12.01
105776.84,386387.18,12.01
105995,386380,12.01
105791.25,386400.06,12.02
105804.35,386381.68,12.03
106010,386390,12.03
105910.2,386379.7,12.03
106050,386390,12.01
106000,386390,11.99
105770,386395,11.99
105945.87,386385.78,11.98
105851.01,386393.08,12
105787.55,386381.58,12
106076.03,386393.45,12
106050,386400,12
106327.47,386394.79,8.98
105867.86,386363.79,12.13
105970,386365,12.12
105995,386369.99,12.12
105830,386375,12.13
105840,386375,12.16
105930,386355,12.14
105950.26,386352.65,12.13
105925,386365,12.12
105939.9,386374.07,12.1
105975,386355,12.1
105795.39,386373.48,12.09
105915,386365.6,12.11
105810,386370,12.12
105960,386375,12.11
106015,386355,12.11
105860,386355,12.19
106828.87,386390.78,5.42
106835.42,386377.23,5.4
106812.11,386386.81,5.12
106813.83,386397.9,5.47
106801.47,386388.84,5.59
106823.37,386380.95,5.58
105575,386395,5.5
105565,386385,4.75
105950,386374.99,12.22
105830,386360,12.21
105820,386360,12.19
105985.01,386374.99,12.22
105873.78,386354.37,12.67
105959.82,386361.93,12.28
105869.85,386373.6,12.22
105880,386370,12.09
105995,386355,11.97
106005,386370,11.97
106060,386369.99,11.97
105858.92,386374.14,11.98
105888.97,386359.94,11.99
106036.55,386363.55,11.99
106047.07,386359.9,11.98
106057.43,386355.87,11.94
105883.23,386350.86,11.82
106165,386369.99,11.8
106079.82,386364.37,11.7
106077.61,386375.01,11.87
105740,386370,11.92
105903.23,386371.14,11.89
105848.34,386357.3,11.89
105767.81,386372.58,11.99
105850.1,386367.66,12.06
105777.35,386363.38,12.04
106005,386354.99,12.04
105796.66,386363.46,12.06
105945.34,386362.99,12.09
105820,386370,12.09
105840,386365,12.08
105772.95,386353.71,12.04
105810,386360,12
105985.01,386360,12
106025,386360,12
105756.35,386359.03,12.01
106015,386370,12.04
105785,386370,12.03
105790.74,386351.52,12.02
